Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
183,1/30/2024,مولتو,Molto,إيديتا,نظرا لشراكتها مع شركة هوستس الأمريكية,boycott,,,,
278,3/3/2024,نيفيا,nivea,nivea,شركة نيفيا هي شركة المانية وهي من ابرز داعمين اسراءيل,boycott,,,,
426,45429.0526,نيفيا,Nivea,Beiersdorf,مش متاكد من انها مقاطعه ولا ,unsure,,,,
40,1/7/2024,نيفيا,Nivea ,Beiersdorf Global AG,لها أصول أمريكية وألمانية,boycott,,,,
400,4/24/2024,نيفيا, Nivea,Nivea,"فيه موقع زيكوا اسمه badayli
https://badayli.com/eg-ar/
حاطط ان نيفيا داعمه عشان هي شركه المانيه والمانيا داعمه للكيان
 هل تعتبر كده نيفيا مقاطعه ولا ايه ؟
شكرا",unsure,,,,
185,1/30/2024,هوهوز,HOHOs,إيديتا,نظرا لشراكتها مع شركة هوستس الأمريكية,boycott,,,,
159,1/30/2024,هوهوز,,ايديتا,هوهوز منتج من ايديتا المصرية مثل مولتو وبيك رولز.. كيف يكون احد منتجات الشركة داعم والمنتج الاخر بديل,boycott,,,,
442,45442.88209,هوهوز,,أيدينا نفس شركة مولتو,راجعوا يا جدعان عاملين شغل كويس كملوا المعلومات صح بقى مش معقول,boycott,,,,
227,1/31/2024,ويندوز,Windows,Microsoft,نظام تشغيل مدفوع من صنع شركة أمريكية.,boycott,,,,
106,1/29/2024,ويندوز,Windows,Microsoft,https://twitter.com/satyanadella/status/1711979964709605518,boycott,,,,
206,1/31/2024,يوني كافيه,Uni Cafe,داماس للصناعات الغذائية,https://www.damas-food.net,alternative,,,,
56,1/9/2024,يوني كافيه,UniCafe,داماس,بديل عن نسكافيه ,alternative,,,,
