Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
54,1/9/2024,كوفى ميكس, Coffee Mix,Nestle,Nestle product,boycott,,,,
55,1/9/2024,بريك,Break,Americana Group," Americana’s network encompasses several brands, some of which are KFC, Pizza Hut, Hardee's, T.G.I., Costa Coffee, Baskin Robbins, Krispy Kreme",boycott,,,,
56,"1/9/2024, 1/31/2024",يوني كافيه,"UniCafe, Uni Cafe","داماس, داماس للصناعات الغذائية",بديل عن نسكافيه  | https://www.damas-food.net,alternative,,,,
57,1/9/2024,باربيكان,Barbican,شركة العوجان السعوديه,قرأت انه منتج سعودي لكن اكتشفت ان شركة كوكاكولا اشترت 50 % من اسهم الشركه ارجوا البحث وشكرا لمجهودكم,unsure,,,,
58,1/10/2024,اروى,Arwa,كوكاكولا ,"تصنيع شركة كوكاكولا
المنتج متوفر في دول الخليج ",boycott,,,,
59,1/11/2024,اوسو,oso,لا اعرف,مشروب غازي كولا,unsure,,,,
60,1/11/2024,فانيش,vanish,لا اعرف,مسحوق,unsure,,,,
61,1/11/2024,حلوى - تمر رطب سكري,Sweet Tamr,طبيعي,يوجد العديد من تمر الرطب السكري وهو متوفر في جميع الدول ويعتبر في نفس اسعار الحلويات وهو من افخم انوا التمور. الكيلو يعادل ١٢٠ج ويمكن ان يقضي معك شهر فس الصباح مع القهوة,alternative,,,,
62,"1/11/2024, 1/30/2024, 45397.48543",كارليتو,"Carlito, Karlito","شركة التاج المنير للمواد الغذائية, Mansour Food Industries, صناعة طبقا للمواصفات الاوربية",بديل  دوريتوس | بديل للدوريتوس | تفاصيل,"alternative, unsure",,,,
63,1/11/2024,تيم,Teem,بيبسي,منتج تابع لشركة بيبسي ,boycott,,,,
64,"1/13/2024, 1/29/2024, 2/1/2024, 4/26/2024, 4/28/2024",مسواك,"Miswak, miswak, Miswak ","Dabur, dubour, دابر المسواك, دابر إنترناشيونال","اسنان | شركة هندية تقوم بصناعة منتجات من المواد الطبيعية
والهند تقوم بدعم القضية الفلسطينية
https://www.shorouknews.com/news/view.aspx?cdate=23112023&id=56b66318-80e3-46dd-b80c-6448cf9cb163
صفحة الشركة على ويكيبديا
https://en.wikipedia.org/wiki/Dabur
 | معجون اسنان | يعتبر هذ المعجون بديل لكلوز اب  | أعتقد ان مسواك (معجون أسنان) غير مقاطعة بنسبة 75% | مش مقاطعة","alternative, boycott, unsure",,,,
65,1/14/2024,ماتركس,Matrix,شركة ضفاف النهرين,"بديل أردني للمشروبات الغازية (Pepsi, 7UP, Miranda)",alternative,,,,
66,1/15/2024,لينوفو,Lenovo,لينوفو هو اسم الشركة,"شركة صينية المنشأ
المصدر: https://www.lenovo.com/bd/en/lenovo/our-company/",alternative,,,,
