Name,Original Index,Date,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
كارليتو,"62, 179, 386","1/11/2024, 1/30/2024, 45397.48543","Carlito, Karlito","شركة التاج المنير للمواد الغذائية, Mansour Food Industries, صناعة طبقا للمواصفات الاوربية",بديل  دوريتوس | بديل للدوريتوس | تفاصيل,"alternative, unsure",,,,
كوكي,"267, 344","3/1/2024, 3/25/2024","Koki, koki","Amricana group, koki",امريكانا جروب تدعم الاحتلال | https://besraha.com/106283,boycott,,,,
كيلوجز نودلز,"291, 349, 423","3/4/2024, 3/30/2024, 5/15/2024","Keloggs , kelloggs, Kelloggs","Kellogg , كيلوجز, Kelloggs",الشركة الأم الولايات الأمريكية  | لا أعرف بالضبط ماحال هذه الشركه ولكن من خلال بحث بسيط تبين لي أنَّه على الأغلب أنَّ هذِه الشركه مقاطعه | لست متأكد ولكنها اصلها شركة امريكية,"boycott, unsure",,,,
كيلوجز نودلز ,"225, 259","1/31/2024, 2/29/2024",Kellogg's noodles ,"Kellogg , Kellogg",شركة أمريكية  https://en.m.wikipedia.org/wiki/Kellogg%27s | شركة أمريكية ,boycott,,,,
كينزا,"191, 310","1/30/2024, 3/9/2024","kinza, Kinza","الجميل العالمية, Al Jameel International Co. - Beverages Factory (Kinza)",مشروب غازي سعودي بديل لمنتجات بيبسي وكوكاكولا | لا يوجد ادلة للدعم، واذا وجد اتمنى ان تتوفر هنا لانه من اكثر البدائل المستخدمة المميزة والممتازة,"alternative, boycott",,,,
لافازا,"157, 357","1/30/2024, 4/2/2024","Lavazza, Lavazza ","Lavazza, Lavazza ",قهوة كبسولات | قهوة إيطالي ,unsure,,,,
لوتس,"49, 373","1/8/2024, 45390.32986","LotusBiscoff, lotus","Lotus Bakeries NV, lotus",I can't enter any name with spaces  | شركة بلجيكية,"unsure, boycott",,,,
لينكس,"143, 229","1/29/2024, 1/31/2024",Linux,"Linux fundation, غير محددة",نظام تشغيل مفتوح المصدر بديل للويندوز وللماك | نظام تشغيل حُر ومجاني غير محتكر من قبل أي جهة.,alternative,,,,
مارابو,"100, 101",1/29/2024,Marabou,Marabou,نوع شكلاتا صناعة شركة سويدية اوروبية | نوع شوكولاته اوروبي ،سويدي,unsure,,,,
ماكسي,"173, 258, 332","1/30/2024, 2/29/2024, 3/17/2024","maxi, MAXI, Maxi ","وابكو, منتجات مياه مصر, شركه المشروعبات الغازيه",مشروب غازي  | مياه غازيه | بديل ,"unsure, alternative",,,,
مرسول,"169, 211","1/30/2024, 1/31/2024","marssol, marsol","marssol, marsol",بديل موقع طلبات لتوصيل الطعام | برنامج خدمت توصيل,"alternative, unsure",,,,
مسواك,"64, 103, 235, 402, 407, 408","1/13/2024, 1/29/2024, 2/1/2024, 4/26/2024, 4/28/2024","Miswak, miswak, Miswak ","Dabur, dubour, دابر المسواك, دابر إنترناشيونال","اسنان | شركة هندية تقوم بصناعة منتجات من المواد الطبيعية
والهند تقوم بدعم القضية الفلسطينية
https://www.shorouknews.com/news/view.aspx?cdate=23112023&id=56b66318-80e3-46dd-b80c-6448cf9cb163
صفحة الشركة على ويكيبديا
https://en.wikipedia.org/wiki/Dabur
 | معجون اسنان | يعتبر هذ المعجون بديل لكلوز اب  | أعتقد ان مسواك (معجون أسنان) غير مقاطعة بنسبة 75% | مش مقاطعة","alternative, boycott, unsure",,,,
منفذ,"29, 140","1/6/2024, 1/29/2024",Monafiz,"Mobtakr LLC, Monafiz",منفذ منصة عربية للعمل وبيع الخدمات المصغرة. | منصة عمل حر عربية,alternative,,,,
مولتو,"183, 262, 316","1/30/2024, 2/29/2024, 3/12/2024","Molto, Molto ","إيديتا, إديتا , ايديتا","نظرا لشراكتها مع شركة هوستس الأمريكية | التقرير الرسمي المالي لشركة ايديتا ٢٠٢٢ بيأكد ان النسبة الاكبر من اسهم شركة ايديتا بترجع لشركة كوانتم الهولندية بنسبة %٤٢% من اجمالي اسهم الشركة، مع العلم ان شركة كوانتم ليها فروع رئيسية في لندن ونيويورك

وخليني ازيدك من الشعر بيت ان التقرير موضح ان حوالي ۱۲٪ من اسهم شركة ايديتا من نصيب بنك امريكي و %٥.٥% من أسهم الشركة من نصيب شركة استثمارات في لندن

بالتالي الشركات دي بتدفع ضرايب لامريكا والضرايب دي بتتحول لدعم بصور مختلفة للي ما يتسموا زي ما كلنا شفنا | غير متأكد لكن المقاطعه معها منتجات ايديتا مثل توينكز وغيره فهل صحيح ",boycott,,,,
نيفيا,"40, 278, 400, 426","1/7/2024, 3/3/2024, 4/24/2024, 45429.0526","Nivea , nivea,  Nivea, Nivea","Beiersdorf Global AG, nivea, Nivea, Beiersdorf","لها أصول أمريكية وألمانية | شركة نيفيا هي شركة المانية وهي من ابرز داعمين اسراءيل | فيه موقع زيكوا اسمه badayli
https://badayli.com/eg-ar/
حاطط ان نيفيا داعمه عشان هي شركه المانيه والمانيا داعمه للكيان
 هل تعتبر كده نيفيا مقاطعه ولا ايه ؟
شكرا | مش متاكد من انها مقاطعه ولا ","boycott, unsure",,,,
هوهوز,"159, 185, 442","1/30/2024, 45442.88209",HOHOs,"ايديتا, إيديتا, أيدينا نفس شركة مولتو",هوهوز منتج من ايديتا المصرية مثل مولتو وبيك رولز.. كيف يكون احد منتجات الشركة داعم والمنتج الاخر بديل | نظرا لشراكتها مع شركة هوستس الأمريكية | راجعوا يا جدعان عاملين شغل كويس كملوا المعلومات صح بقى مش معقول,boycott,,,,
ويندوز,"106, 227","1/29/2024, 1/31/2024",Windows,Microsoft,https://twitter.com/satyanadella/status/1711979964709605518 | نظام تشغيل مدفوع من صنع شركة أمريكية.,boycott,,,,
يوني كافيه,"56, 206","1/9/2024, 1/31/2024","UniCafe, Uni Cafe","داماس, داماس للصناعات الغذائية",بديل عن نسكافيه  | https://www.damas-food.net,alternative,,,,
