Nabil,,Aref,,,,,,,
Date,name,english,manufacturer,details,type,تم مراجعته؟,داعم\بديل؟,السبب او معلومات اضافية,النوع
1/30/2024,العالمية الحرة لتكنولوجيا المعلومات,Alalmiyalhura for information technology,العالمية الحرة لتكنولوجيا المعلومات,شركة مساهمة مصرية داعمة للقضية الفلسطينية متميزة في مجال ال (Software Solution - Marketing - Web and Mobile apps) ,alternative,,,,
1/30/2024,رويبة ,rouiba,NCA Rouiba,تمكنت NCA Rouiba من التمييز بين نفسها بفضل المنتجات عالية الجودة وبأسعار معقولة. ,alternative,,,,
1/30/2024,كارليتو,Carlito,Mansour Food Industries,بديل للدوريتوس,alternative,,,,
1/30/2024,حمود بوعلام ,Hammoud boalam,حمودبوعلام ,مشروب غازي جزائري الاصل منذ 1879 من قبل الاحتلال الملعون. طعمو تحفة وفيه اذواق كثيرة من فواكه و كولا او بدون سكر.,alternative,,,,
1/30/2024,تويست ,twist,تويست ,برجاء التأكد من المنتج,unsure,,,,
1/30/2024,تودو,TODO,إيديتا,نظرا لشراكتها مع شركة هوستس الأمريكية,boycott,,,,
1/30/2024,مولتو,Molto,إيديتا,نظرا لشراكتها مع شركة هوستس الأمريكية,boycott,,,,
1/30/2024,توينكيز,Twinkies,إيديتا,نظرا لشراكتها مع شركة هوستس الأمريكية,boycott,,,,
1/30/2024,هوهوز,HOHOs,إيديتا,نظرا لشراكتها مع شركة هوستس الأمريكية,boycott,,,,
1/30/2024,سيليكتو,selecto,HAMOUD BOULAME,مشروب غازي,alternative,,,,
1/30/2024,فودافون,vodafone,Vodafone,شركة فودافون وخدماتها ,unsure,,,,
1/30/2024,اوكسي,Oxi,Arma ,مسحوق غسيل ,unsure,,,,
1/30/2024,أدوب,Adobe ,Adobe ,لم أتأكد من دعم الشركة يرجى التأمد,unsure,,,,
1/30/2024,تسالي,tasali,PepsiCo,احد منتجات شركة PepsiCo يباع بدول الخليج,boycott,,,,
1/30/2024,كينزا,kinza,الجميل العالمية,مشروب غازي سعودي بديل لمنتجات بيبسي وكوكاكولا,alternative,,,,
